종목명,종목코드,현재가,전일비,등락률,거래량,거래대금,시가총액
삼성전자,005930,70150,상승,+1.96%,10922859,768139,4152626
SK하이닉스,000660,262000,상승,+1.35%,1924912,493321,1907366
LG에너지솔루션,373220,388500,상승,+1.17%,128504,49613,909090
삼성바이오로직스,207940,1026000,하락,-0.48%,26143,26816,730245
한화에어로스페이스,012450,929000,하락,-0.75%,81885,76432,479024
KB금융,105560,114500,하락,-0.95%,422031,48243,436774
현대차,005380,212000,상승,+0.71%,263867,56132,434086
HD현대중공업,329180,480000,상승,+2.89%,197988,95312,426111
두산에너빌리티,034020,66200,하락,-0.15%,4644544,310486,424051
기아,000270,101800,보합,0.00%,292644,29941,404831
셀트리온,068270,173200,하락,-2.97%,462629,80645,399954
NAVER,035420,233000,상승,+1.97%,610855,141025,369158
한화오션,042660,118400,상승,+3.68%,3023205,356528,362793
신한지주,055550,68800,상승,+0.15%,478677,32957,334021
삼성물산,028260,163700,상승,+0.49%,117698,19337,278252
카카오,035720,61700,상승,+8.63%,8139629,490253,272722
한국전력,015760,42350,상승,+2.92%,5836160,243610,271872
현대모비스,012330,295500,상승,+3.32%,111434,32641,271254
HD한국조선해양,009540,363000,상승,+3.71%,147151,52544,256906
삼성생명,032830,123500,하락,-0.48%,100785,12421,247000
하나금융지주,086790,85200,하락,-0.35%,411317,35086,242585
POSCO홀딩스,005490,296500,하락,-0.67%,123174,36457,239966
HMM,011200,23200,상승,+0.65%,396641,9205,237809
현대로템,064350,194000,하락,-1.72%,493587,96418,211736
LG화학,051910,298000,하락,-1.00%,122046,36388,210365
메리츠금융지주,138040,113800,하락,-0.70%,132138,14974,204856
삼성화재,000810,437000,하락,-0.11%,20150,8831,201069
SK스퀘어,402340,140900,상승,+0.43%,184548,25570,186750
우리금융지주,316140,25100,상승,+0.20%,1112715,27852,186390
HD현대일렉트릭,267260,503000,하락,-0.79%,84320,42829,181317
삼성SDI,006400,217500,하락,-0.23%,347933,75621,175274
삼성중공업,010140,19560,하락,-0.20%,3705865,72697,172128
KT&G,033780,137800,하락,-1.92%,292876,40080,168202
SK이노베이션,096770,108500,하락,-0.46%,95581,10336,163873
고려아연,010130,788000,상승,+2.74%,16856,13203,157783
크래프톤,259960,328000,상승,+2.66%,51691,16742,155446
기업은행,024110,19330,하락,-0.05%,389259,7514,154142
SK,034730,191600,하락,-0.42%,81304,15570,138915
KT,030200,53800,하락,-1.10%,294313,15779,135588
LIG넥스원,079550,606000,상승,+0.50%,93522,57044,133320
카카오뱅크,323410,27050,상승,+0.56%,1449171,39023,129026
LG전자,066570,77100,상승,+0.26%,168351,12946,126172
현대글로비스,086280,168100,상승,+5.39%,278466,46242,126075
LG,003550,76800,하락,-1.03%,77607,5968,120769
SK텔레콤,017670,55650,하락,-1.15%,642250,35653,119531
삼성에스디에스,018260,154100,하락,-0.13%,93995,14497,119239
포스코퓨처엠,003670,151400,상승,+0.33%,182771,27545,117279
삼성전기,009150,155100,하락,-0.32%,530456,83862,115850
하이브,352820,276750,상승,+6.85%,450246,124818,115272
효성중공업,298040,1227000,하락,-3.99%,56428,71851,114412
삼양식품,003230,1434000,상승,+0.35%,17997,25670,108023
HD현대,267250,136600,상승,+2.17%,99590,13539,107905
한화시스템,272210,57000,상승,+0.35%,535435,30774,107684
미래에셋증권,006800,18510,하락,-1.12%,2899170,54646,105566
두산,000150,608000,상승,+0.50%,44015,26566,100465
LS ELECTRIC,010120,324500,하락,-0.46%,105714,34407,97350
HD현대마린솔루션,443060,209000,상승,+1.46%,54877,11373,93693
DB손해보험,005830,129700,상승,+1.17%,106700,13797,91828
한국항공우주,047810,93400,하락,-1.79%,203207,19159,91042
유한양행,000100,112200,하락,-2.01%,237420,26690,89725
카카오페이,377300,65850,상승,+5.53%,1687730,109743,88892
대한항공,003490,23850,상승,+0.21%,436398,10386,87821
포스코인터내셔널,047050,48050,하락,-0.31%,143441,6896,84531
한미반도체,042700,87500,하락,-1.02%,223975,19560,83398
에이피알,278470,215500,상승,+3.36%,969377,210164,81985
HD현대미포,010620,200000,상승,+0.86%,204099,40581,79884
한진칼,180640,117500,상승,+0.09%,52213,6069,78446
현대건설,000720,70500,하락,-0.98%,783420,54889,78506
SK바이오팜,326030,99500,하락,-1.97%,282962,28244,77922
코웨이,021240,106800,하락,-1.02%,54998,5929,76799
한국금융지주,071050,137200,하락,-3.38%,277220,38944,76456
아모레퍼시픽,090430,130200,상승,+1.09%,249356,32519,76158
S-Oil,010950,61800,하락,-0.96%,64694,3997,69576
한화,000880,89600,하락,-1.54%,180304,16241,67163
LG유플러스,032640,14480,하락,-1.36%,448167,6482,63221
NH투자증권,005940,19360,하락,-1.07%,310377,6069,62743
삼성증권,016360,70200,하락,-0.85%,148284,10474,62689
삼성카드,029780,50200,하락,-0.40%,19606,983,58161
한국타이어앤테크놀로지,161390,44550,상승,+1.14%,75060,3337,55186
LG디스플레이,034220,10960,상승,+0.09%,1080907,11888,54800
LS,006260,169200,하락,-0.59%,60527,10231,54482
키움증권,039490,207000,하락,-0.96%,76204,15848,54080
두산밥캣,241560,56400,상승,+0.18%,151373,8565,54063
넷마블,251270,61800,상승,+5.10%,377576,22901,53119
삼성E&A,028050,26750,상승,+0.75%,302130,8035,52430
한화솔루션,009830,30150,하락,-1.47%,1038058,31288,51826
LG생활건강,051900,298500,상승,+0.51%,23197,6934,46620
BNK금융지주,138930,14510,하락,-0.07%,354611,5138,46197
현대제철,004020,33650,상승,+0.15%,209424,7004,44904
CJ,001040,153000,상승,+0.20%,109220,16666,44641
GS,078930,48000,하락,-0.72%,115133,5523,44599
오리온,271560,110300,하락,-0.45%,77213,8505,43608
엔씨소프트,036570,201500,상승,+2.86%,42112,8389,43411
JB금융지주,175330,22250,하락,-1.55%,144252,3217,42538
강원랜드,035250,18970,상승,+0.48%,198489,3752,40585
두산로보틱스,454910,61700,상승,+0.49%,115260,7083,39994
한국가스공사,036460,42050,하락,-1.06%,95443,4017,38818
SKC,011790,99900,상승,+1.11%,87304,8653,37830
CJ제일제당,097950,249500,보합,0.00%,39225,9788,37560
LG이노텍,011070,157800,상승,+0.64%,125285,19865,37347
한전기술,052690,96700,상승,+0.42%,342584,33391,36959
포스코DX,022100,23850,하락,-0.62%,124999,2975,36260
한미약품,128940,283000,하락,-0.18%,22524,6363,36255
SK바이오사이언스,302440,46000,상승,+0.22%,58231,2657,36050
에코프로머티,450080,51700,하락,-0.96%,325094,16725,36155
풍산,103140,125600,하락,-4.12%,349612,44484,35198
KCC,002380,383500,하락,-2.42%,19266,7404,34080
현대엘리베이터,017800,81400,하락,-0.37%,88616,7192,31821
HD현대인프라코어,042670,16500,상승,+1.60%,1276297,20995,31778
대한전선,001440,16880,상승,+2.80%,1653963,27634,31472
코스맥스,192820,265000,상승,+3.11%,85419,22655,30076
한미사이언스,008930,43550,하락,-0.34%,216343,9473,29785
한화생명,088350,3420,상승,+0.74%,1180153,4019,29704
금호석유화학,011780,111400,하락,-1.68%,101156,11245,29476
롯데지주,004990,27850,상승,+0.36%,101608,2817,29217
동서,026960,29100,하락,-0.51%,35690,1039,29013
한화비전,489790,56100,하락,-1.58%,245819,13857,28324
에스원,012750,73300,상승,+0.55%,17000,1238,27853
롯데케미칼,011170,62700,하락,-2.64%,117086,7399,26820
영원무역,111770,59600,상승,+0.51%,11890,706,26410
엘앤에프,066970,72400,상승,+0.56%,236948,16882,26293
F&F,383220,65000,하락,-1.07%,40180,2617,24900
이마트,139480,89900,상승,+0.90%,41816,3721,24809
현대해상,001450,27050,상승,+0.56%,149314,4024,24183
한국콜마,161890,101500,상승,+2.11%,186865,18870,23959
한전KPS,051600,53100,상승,+0.38%,119293,6353,23895
농심,004370,383500,하락,-0.26%,13002,4963,23327
아모레퍼시픽홀딩스,002790,29200,상승,+0.17%,58747,1721,23202
한온시스템,018880,3410,상승,+1.49%,673596,2288,23146
제일기획,030000,20050,상승,+1.06%,109183,2183,23066
한국앤컴퍼니,000240,23750,하락,-0.84%,26923,641,22547
iM금융지주,139130,13910,하락,-0.14%,255199,3540,22542
미스토홀딩스,081660,37450,상승,+0.94%,62035,2325,22506
팬오션,028670,4170,상승,+0.48%,414550,1718,22292
BGF리테일,282330,121500,상승,+0.41%,21624,2626,21000
롯데쇼핑,023530,73000,상승,+0.69%,23346,1692,20651
SK아이이테크놀로지,361610,28300,상승,+0.53%,74127,2090,20177
CJ대한통운,000120,87900,하락,-0.34%,30140,2644,20052
씨에스윈드,112610,47025,하락,-0.37%,100867,4754,19831
동원산업,006040,44750,하락,-0.56%,21865,974,19756
호텔신라,008770,50200,상승,+1.93%,179541,8994,19703
한솔케미칼,014680,172600,하락,-0.40%,21425,3712,19565
DL이앤씨,375500,47250,하락,-1.36%,142102,6728,18283
OCI홀딩스,010060,96850,상승,+0.57%,69466,6644,18222
영원무역홀딩스,009970,134200,하락,-0.74%,9589,1280,18116
신세계,004170,178100,상승,+0.68%,21694,3838,17178
현대백화점,069960,75500,상승,+2.03%,80073,5868,17085
한국카본,017960,32450,상승,+3.84%,476714,15404,16844
GS건설,006360,19430,하락,-0.56%,239709,4650,16628
HL만도,204320,34575,상승,+0.51%,170005,5869,16235
녹십자,006280,137300,상승,+0.15%,15003,2051,16046
오뚜기,007310,400000,상승,+0.13%,3974,1590,16031
대우건설,047040,3795,하락,-1.17%,524116,1995,15773
에스엘,005850,33600,상승,+2.13%,84850,2841,15607
대웅제약,069620,133900,하락,-1.83%,29496,3974,15514
이수스페셜티케미컬,457190,49950,하락,-2.25%,300772,15028,15089
DN오토모티브,007340,25400,하락,-1.55%,63398,1620,14862
한일시멘트,300720,21000,하락,-1.41%,61914,1305,14545
한올바이오파마,009420,27450,하락,-0.90%,119131,3243,14340
하이트진로,000080,20050,보합,0.00%,62105,1242,14062
HDC,012630,23400,하락,-1.27%,351521,8374,13980
금호타이어,073240,4795,상승,+0.31%,263608,1260,13774
GS리테일,007070,16330,상승,+0.62%,60848,986,13653
현대위아,011210,49650,상승,+0.20%,34272,1696,13502
오리온홀딩스,001800,21200,상승,+1.19%,30054,632,13281
대웅,003090,21900,하락,-1.57%,76240,1664,12733
에스디바이오센서,137310,10180,하락,-0.10%,41098,417,12394
롯데칠성,005300,130400,상승,+0.85%,10065,1304,12100
더블유게임즈,192080,55800,상승,+0.72%,15481,863,11995
SK케미칼,285130,67400,하락,-2.32%,27832,1878,11629
종근당,185750,82300,하락,-0.24%,15056,1237,11360
코오롱인더,120110,40300,상승,+0.88%,111104,4525,11090
태광산업,003240,990000,하락,-0.60%,642,632,11023
롯데웰푸드,280360,118200,하락,-1.42%,14634,1721,10998
한샘,009240,45400,하락,-0.66%,16323,742,10684
롯데정밀화학,004000,41250,하락,-1.43%,40505,1671,10642
세아베스틸지주,001430,29600,하락,-2.95%,96903,2861,10615
GKL,114090,16470,상승,+1.98%,137688,2270,10188
효성티앤씨,298020,231000,하락,-0.65%,4468,1032,9997
DL,000210,46250,하락,-2.12%,68832,3179,9692
지역난방공사,071320,80600,하락,-9.74%,118014,9607,9332
세방전지,004490,64900,하락,-1.22%,36812,2390,9086
동원시스템즈,014820,30450,하락,-0.49%,10404,315,8828
율촌화학,008730,34650,하락,-1.00%,49969,1735,8593
대상,001680,24600,상승,+2.93%,163063,3980,8523
HS효성첨단소재,298050,188700,하락,-1.10%,13531,2547,8454
하나투어,039130,53500,상승,+1.33%,72824,3894,8287
